variant,label,lmbda,quality,avg_bpp,avg_psnr,avg_ms_ssim,avg_ms_ssim_db,total_params,run_name
A,Baseline,0.0018,1,0.13112824874567905,27.58170469810706,0.9173785870273908,11.009223455472855,5075843,variant_A_lmbda_0.0018_quality_1_mse_20260501_011208
A,Baseline,0.0035,2,0.20869300201431748,29.196879266945942,0.9420588264862696,12.546830613265774,5075843,variant_A_lmbda_0.0035_quality_2_mse_20260501_011208
A,Baseline,0.0067,3,0.3194861316846477,30.97167680429459,0.9610583285490671,14.273048962306754,5075843,variant_A_lmbda_0.0067_quality_3_mse_20260501_011208
A,Baseline,0.013,4,0.477700620630963,32.83910283520262,0.9748816813031832,16.177185490813745,5075843,variant_A_lmbda_0.013_quality_4_mse_20260501_011208
B,Encoder SE,0.0018,1,0.13130534248840478,27.566738178057193,0.9166307374835014,10.963685507216796,5078027,variant_B_lmbda_0.0018_quality_1_mse_20260501_011208
B,Encoder SE,0.0035,2,0.21060346867630464,29.211350606866016,0.9420330648620924,12.543615098140043,5078027,variant_B_lmbda_0.0035_quality_2_mse_20260501_011208
B,Encoder SE,0.0067,3,0.3268750904179696,31.08551811382942,0.9613647758960724,14.316124998923359,5078027,variant_B_lmbda_0.0067_quality_3_mse_20260501_011208
B,Encoder SE,0.013,4,0.48698804760351777,32.988453257828716,0.9747745742400488,16.170174748400317,5078027,variant_B_lmbda_0.013_quality_4_mse_20260501_011208
C,Encoder+Decoder SE,0.0018,1,0.13122958080687872,27.55851548127284,0.9165151119232178,10.959020011202915,5080211,variant_C_lmbda_0.0018_quality_1_mse_20260501_011208
C,Encoder+Decoder SE,0.0035,2,0.21117533621792162,29.210069535530504,0.9420306036869684,12.543373413646185,5080211,variant_C_lmbda_0.0035_quality_2_mse_20260501_011208
C,Encoder+Decoder SE,0.0067,3,0.32678863822689486,31.079455623301858,0.9612887899080912,14.307713093212309,5080211,variant_C_lmbda_0.0067_quality_3_mse_20260501_011208
C,Encoder+Decoder SE,0.013,4,0.4863593264017254,32.987177257291876,0.9747599636514982,16.16836276330273,5080211,variant_C_lmbda_0.013_quality_4_mse_20260501_011208
bmshj2018_factorized,BMSHJ 2018 Factorized,0.0018,1,0.1223874394264486,26.90878693768291,0.9099890813231468,10.658666979090235,2998147,variant_bmshj2018_factorized_lmbda_0.0018_quality_1_mse_20260526_124510
bmshj2018_factorized,BMSHJ 2018 Factorized,0.0035,2,0.1882158252927992,28.217926966310426,0.9360476210713387,12.134097744367315,2998147,variant_bmshj2018_factorized_lmbda_0.0035_quality_2_mse_20260526_124510
bmshj2018_factorized,BMSHJ 2018 Factorized,0.0067,3,0.28732643524805707,29.616911853973974,0.9554707979162534,13.697284727967189,2998147,variant_bmshj2018_factorized_lmbda_0.0067_quality_3_mse_20260526_124510
bmshj2018_factorized,BMSHJ 2018 Factorized,0.013,4,0.43970986372894716,31.27708471591863,0.9703577334682146,15.449541893994791,2998147,variant_bmshj2018_factorized_lmbda_0.013_quality_4_mse_20260526_124510
mbt2018_mean,MBT 2018 Mean,0.0018,1,0.12416020842889945,27.69947298233046,0.9178414319952329,11.046547842705076,7028003,variant_mbt2018_mean_lmbda_0.0018_quality_1_mse_20260526_124510
mbt2018_mean,MBT 2018 Mean,0.0035,2,0.19814917745275631,29.358805733120708,0.9430568640430769,12.625524570822117,7028003,variant_mbt2018_mean_lmbda_0.0035_quality_2_mse_20260526_124510
mbt2018_mean,MBT 2018 Mean,0.0067,3,0.30732451586259735,31.128920679899732,0.9614850630362829,14.331305671661596,7028003,variant_mbt2018_mean_lmbda_0.0067_quality_3_mse_20260526_124510
mbt2018_mean,MBT 2018 Mean,0.013,4,0.4601532541111939,32.95067460555188,0.975204644103845,16.237442350296728,7028003,variant_mbt2018_mean_lmbda_0.013_quality_4_mse_20260526_124510
mbt2018,MBT 2018,0.0018,1,0.11021304426119766,28.1150219907818,0.9215888331333796,11.243705970377546,14130467,variant_mbt2018_lmbda_0.0018_quality_1_mse_20260526_124510
mbt2018,MBT 2018,0.0035,2,0.19507917923490617,29.635224654395234,0.9434800098339716,12.66253443139211,14130467,variant_mbt2018_lmbda_0.0035_quality_2_mse_20260526_124510
mbt2018,MBT 2018,0.0067,3,0.28821164610174793,31.3874336459356,0.9627968221902847,14.475860229374026,14130467,variant_mbt2018_lmbda_0.0067_quality_3_mse_20260526_124510
mbt2018,MBT 2018,0.013,4,0.4301514547680401,33.18559066732006,0.9757331932584444,16.328408018655413,14130467,variant_mbt2018_lmbda_0.013_quality_4_mse_20260526_124510
cheng2020_anchor,Cheng 2020 Anchor,0.0018,1,0.1174291016100647,28.600050662506657,0.9233382344245911,11.362772204984163,11833149,variant_cheng2020_anchor_lmbda_0.0018_quality_1_mse_20260526_124510
cheng2020_anchor,Cheng 2020 Anchor,0.0035,2,0.18136307178388558,29.94144857601494,0.9457055826981863,12.84670824787272,11833149,variant_cheng2020_anchor_lmbda_0.0035_quality_2_mse_20260526_124510
cheng2020_anchor,Cheng 2020 Anchor,0.0067,3,0.26864900691887467,31.31135305320964,0.9625516980886459,14.458968524027966,11833149,variant_cheng2020_anchor_lmbda_0.0067_quality_3_mse_20260526_124510
cheng2020_anchor,Cheng 2020 Anchor,0.013,4,0.415264892598821,33.44689591103366,0.976294236878554,16.44301956557393,26598956,variant_cheng2020_anchor_lmbda_0.013_quality_4_mse_20260526_124510
