image,image_name,estimated_bpp,coded_bpp,bpp,forward_ms,encode_ms,decode_ms,codec_total_ms,num_pixels,psnr,ms_ssim,ms_ssim_db,mse
1,kodim01,0.33501431780556834,0.3352864583333333,0.33501431780556834,155.14902499853633,77.96703599160537,98.40545398765244,176.3724899792578,393216,26.876679842376806,0.9455068707466125,12.636582521352143,0.0020527308806777
2,kodim02,0.13697469358642897,0.13614908854166666,0.13697469358642897,5.292180998367257,81.16290799807757,99.81550600787159,180.97841400594916,393216,30.3656192705415,0.9082494378089905,10.373912659782686,0.0009192593861371279
3,kodim03,0.11659989506006241,0.11686197916666667,0.11659989506006241,5.4514799994649366,70.79449501179624,88.46450799319427,159.25900300499052,393216,31.7589720022634,0.9551551938056946,13.482878485344791,0.000666964624542743
4,kodim04,0.14351226141055423,0.14371744791666666,0.14351226141055423,8.319064989336766,71.9872280023992,95.05088199512102,167.03810999752022,393216,30.35715681869739,0.927147626876831,11.37556296776478,0.0009210523567162454
5,kodim05,0.3827283990879854,0.38330078125,0.3827283990879854,5.3294809913495556,73.86269800190348,92.39822700328659,166.26092500519007,393216,26.79630425895178,0.9544894099235535,13.418875335271538,0.002091074828058481
6,kodim06,0.24041868125398955,0.24072265625,0.24041868125398955,5.254092000541277,72.77454299037345,97.38500000094064,170.15954299131408,393216,27.87376055435811,0.9300451874732971,11.551824029463207,0.0016316385008394718
7,kodim07,0.1785325507322947,0.17887369791666666,0.1785325507322947,5.143942005815916,80.00552399607841,94.6862639975734,174.69178799365181,393216,30.941467094444704,0.9693956971168518,15.142175085827018,0.0008051064214669168
8,kodim08,0.4055565781891346,0.4044596354166667,0.4055565781891346,5.09527200483717,81.30428699951153,87.96262099349406,169.2669079930056,393216,26.11765681562136,0.9601619839668274,13.997022979416096,0.0024447492323815823
9,kodim09,0.135011484225591,0.135498046875,0.135011484225591,5.217761005042121,65.67597200046293,87.31060499849264,152.98657699895557,393216,31.52715379601849,0.9655982851982117,14.63419908870537,0.0007035332382656634
10,kodim10,0.14742216592033705,0.14754231770833334,0.14742216592033705,5.042692995630205,71.31828099954873,95.50446999492124,166.82275099446997,393216,31.19250993722887,0.9525360465049744,13.236360901902309,0.0007598869851790369
11,kodim11,0.20135763101279736,0.20182291666666666,0.20135763101279736,5.176011996809393,71.75245899998117,91.97897899139207,163.73143799137324,393216,28.72400890565355,0.9282198548316956,11.439956676838905,0.0013415260473266244
12,kodim12,0.12039768882095814,0.120849609375,0.12039768882095814,5.200112005695701,83.22610599861946,92.67981498851441,175.90592098713387,393216,31.327540310689884,0.9302117824554443,11.562178938140699,0.0007366241770796478
13,kodim13,0.40920761972665787,0.4099934895833333,0.40920761972665787,5.050872001447715,76.54846299556084,95.80360799736809,172.35207099292893,393216,24.385505119928283,0.9248873591423035,11.24286968551506,0.003642918774858117
14,kodim14,0.25847141817212105,0.2587890625,0.25847141817212105,5.208551010582596,75.10916100000031,91.1414239963051,166.2505849963054,393216,27.591123503483672,0.9315462112426758,11.646025096795485,0.0017413563327863812
15,kodim15,0.1380092054605484,0.13818359375,0.1380092054605484,5.067723002866842,75.52592900174204,91.53183099988382,167.05776000162587,393216,30.42350471860548,0.9444870352745056,12.55605578116885,0.0009070882224477828
16,kodim16,0.13911620154976845,0.139404296875,0.13911620154976845,5.17506200412754,72.35512600163929,97.99602600105572,170.35115200269502,393216,29.84333889751751,0.9301605224609375,11.558990181963996,0.0010367310605943203
17,kodim17,0.14711190884311992,0.14762369791666666,0.14711190884311992,5.030242013162933,72.8901330003282,88.44018800300546,161.33032100333367,393216,30.518425733180457,0.9518914818763733,13.177780203712576,0.0008874776540324092
18,kodim18,0.2662233250836531,0.2666829427083333,0.2662233250836531,5.020572993089445,71.17353199282661,88.58927700202912,159.76280899485573,393216,27.109812584608083,0.932934582233429,11.735013657433797,0.0019454440334811807
19,kodim19,0.17394542445739108,0.17390950520833334,0.17394542445739108,5.036763002863154,73.76098800159525,89.17770499829203,162.93869299988728,393216,29.163091915971336,0.932283341884613,11.693044829000648,0.0012125252978876233
20,kodim20,0.1338764907171329,0.13387044270833334,0.1338764907171329,5.015301998355426,71.18107199494261,98.69320198777132,169.87427398271393,393216,31.058471366168433,0.961582601070404,14.15472042617578,0.0007837054436095059
21,kodim21,0.22357062560816604,0.22403971354166666,0.22357062560816604,5.26122200244572,73.62383899453562,90.87573499709833,164.49957399163395,393216,28.59605915409649,0.955373227596283,13.504045220311642,0.001381637412123382
22,kodim22,0.18806537861625355,0.18806966145833334,0.18806537861625355,5.354910987080075,71.93311800074298,89.17913399636745,161.11225199711043,393216,28.823582920694342,0.9149456024169922,10.703032270642211,0.0013111177831888199
23,kodim23,0.11100443328420322,0.11124674479166667,0.11100443328420322,5.1721420022659,74.85597199411131,87.78311200148892,162.63908399560023,393216,32.485672404942264,0.9574878215789795,13.714866402225148,0.0005641995812766254
24,kodim24,0.27442420460283756,0.274658203125,0.27442420460283756,5.1096020033583045,71.45176999620162,90.1934790017549,161.64524899795651,393216,26.769160200562503,0.9424857497215271,12.402245370400586,0.002104185288771987
