variant,freeze_mode,quality,avg_estimated_bpp,avg_coded_bpp,coded_minus_estimated_bpp
A_ft,none,1,0.1314195775711495,0.1318223741319444,0.00040279656079489357
A_ft,frozen_hyperprior,1,0.1319258765239889,0.13214111328125,0.0002152367572610947
A_ft,frozen_hyperprior,2,0.2110960848577734,0.2113579644097222,0.00026187955194881263
A_ft,none,2,0.2108401523954752,0.2113749186197916,0.0005347662243163909
A_ft,frozen_hyperprior,3,0.3272022066844834,0.3276333279079861,0.0004311212235026951
A_ft,none,3,0.3271468588047557,0.3279012044270833,0.0007543456223276235
A_ft,none,4,0.487396953239416,0.4884982638888888,0.0011013106494727753
A_ft,frozen_hyperprior,4,0.4886446193688445,0.4894748263888889,0.0008302070200443823
A,pretrained_reference,1,0.131128248745679,0.1312934027777777,0.00016515403209871327
A,pretrained_reference,2,0.2086930044978443,0.208892822265625,0.00019981776778069116
A,pretrained_reference,3,0.3194861316846477,0.3198581271701389,0.00037199548549121664
A,pretrained_reference,4,0.477700620630963,0.4783562554253471,0.0006556347943840746
B,attention_only,1,0.130749530171872,0.13092041015625,0.00017087998437800844
B,none,1,0.1312372102919552,0.131622314453125,0.00038510416116979695
B,frozen_hyperprior,1,0.1318290656070328,0.1320326063368055,0.00020354072977268878
B,attention_only,2,0.2086063576344814,0.2088148328993055,0.00020847526482409284
B,none,2,0.2108385512579439,0.2113240559895833,0.0004855047316393857
B,frozen_hyperprior,2,0.2112478028413736,0.2115275065104166,0.0002797036690430077
B,attention_only,3,0.3198886548375917,0.3202616373697917,0.00037298253219997246
B,frozen_hyperprior,3,0.3263074068559541,0.3267923990885417,0.00048499223258757773
B,none,3,0.3267965532011456,0.3275519476996527,0.0007553944985070893
B,attention_only,4,0.4771213258823586,0.4777865939670139,0.0006652680846552794
B,none,4,0.4870059443637728,0.4880947536892361,0.0010888093254632913
B,frozen_hyperprior,4,0.4880546576136517,0.4888780381944445,0.0008233805807927874
C,attention_only,1,0.1309812439010582,0.1311374240451388,0.00015618014408061431
C,none,1,0.131295804063686,0.1316697862413194,0.0003739821776334029
C,frozen_hyperprior,1,0.1317574278218671,0.1320020887586805,0.0002446609368133845
C,attention_only,2,0.2089003023381034,0.2091166178385416,0.00021631550043821335
C,frozen_hyperprior,2,0.2109582214874939,0.211208767361111,0.00025054587361708625
C,none,2,0.2113810200373539,0.2118428548177083,0.0004618347803543865
C,attention_only,3,0.3218027059661431,0.3221876356336805,0.00038492966753744806
C,none,3,0.3266364232792209,0.3273281521267361,0.0006917288475152272
C,frozen_hyperprior,3,0.326995024147133,0.32745361328125,0.0004585891341170045
C,attention_only,4,0.477573554445472,0.4782307942708333,0.000657239825361311
C,frozen_hyperprior,4,0.4871481151009599,0.4880099826388889,0.0008618675379289953
C,none,4,0.4873636728152632,0.4883931477864583,0.001029474971195099
bmshj2018_factorized,pretrained_reference,1,0.1223866037196583,0.1226230197482639,0.0002364160286055933
bmshj2018_factorized,pretrained_reference,2,0.1882105709777937,0.1885274251302083,0.00031685415241458625
bmshj2018_factorized,pretrained_reference,3,0.2873227993647257,0.2878078884548611,0.00048508909013539325
bmshj2018_factorized,pretrained_reference,4,0.4397050498260392,0.4403788248697917,0.0006737750437524892
mbt2018_mean,pretrained_reference,1,0.1241604869202193,0.1239217122395833,-0.00023877468063600304
mbt2018_mean,pretrained_reference,2,0.1981572694041662,0.1979810926649305,-0.00017617673923570054
mbt2018_mean,pretrained_reference,3,0.307356890808377,0.3072441948784722,-0.0001126959299048158
mbt2018_mean,pretrained_reference,4,0.4601636261989673,0.4606119791666667,0.0004483529676994058
mbt2018,pretrained_reference,1,0.1102231866098009,0.1105380588107638,0.0003148722009628929
mbt2018,pretrained_reference,2,0.1950448111294665,0.1869676378038194,-0.008077173325647113
mbt2018,pretrained_reference,3,0.2881889678149794,0.2877027723524305,-0.00048619546254885515
mbt2018,pretrained_reference,4,0.4301251671018285,0.4323391384548611,0.0022139713530325844
cheng2020_anchor,pretrained_reference,1,0.117443624282411,0.119598388671875,0.002154764389464006
cheng2020_anchor,pretrained_reference,2,0.1813466276734187,0.1838039822048611,0.0024573545314424128
cheng2020_anchor,pretrained_reference,3,0.2686331928028569,0.2709554036458333,0.002322210842976402
cheng2020_anchor,pretrained_reference,4,0.4152599847228783,0.4173719618055555,0.002111977082677241
