variant,label,freeze_mode,quality,lmbda,total_params,params_millions,avg_coded_bpp,avg_psnr,avg_forward_ms,avg_encode_ms,avg_decode_ms,avg_codec_total_ms,avg_forward_mpix_per_s,avg_encode_mpix_per_s,avg_decode_mpix_per_s,avg_codec_total_mpix_per_s
A_ft,Fine-tuned Baseline,none,1,0.0018,5075843,5.075843,0.13182237413194445,27.563220988478445,11.30975125003412,73.45032841658394,93.03136137653685,166.4816897931208,34.767873431240474,5.3534954638979935,4.22670370702725,2.361917400577995
A_ft,Fine-tuned Baseline,none,2,0.0035,5075843,5.075843,0.21137491861979166,29.217508947927573,11.336794749998566,71.4943484987695,90.88347999992645,162.37782849869595,34.68493596922973,5.499959203163698,4.326594888315436,2.421611396306842
A_ft,Fine-tuned Baseline,none,3,0.0067,5075843,5.075843,0.3279012044270833,31.093878605031165,11.450206624431303,73.40785300038988,91.09095287446205,164.4988058748519,34.34138901572266,5.356593115424744,4.31674044009524,2.3903881727819503
A_ft,Fine-tuned Baseline,none,4,0.013,5075843,5.075843,0.48849826388888884,33.00016099258722,11.466769877491364,75.00631874790997,96.37447450343946,171.38079325134944,34.29178436482459,5.2424383247172335,4.080084503972747,2.294399462974267
A,Pretrained Baseline,pretrained_reference,1,0.0018,5075843,5.075843,0.13129340277777776,27.581536717086056,12.129935417760862,73.29157312657723,89.56246758255777,162.854040709135,32.41699040081007,5.36509155453522,4.390410521433406,2.414530203167033
A,Pretrained Baseline,pretrained_reference,2,0.0035,5075843,5.075843,0.208892822265625,29.196694011805903,12.093538916815305,74.32457233456564,94.83423316548094,169.15880550004658,32.514552002082524,5.290524891686859,4.146350815257376,2.3245375777963373
A,Pretrained Baseline,pretrained_reference,3,0.0067,5075843,5.075843,0.3198581271701389,30.972168416891108,11.92413487478916,75.60995266794635,95.66438774830506,171.27434041625142,32.976480401220954,5.200585189186314,4.110369691954327,2.295825510373354
A,Pretrained Baseline,pretrained_reference,4,0.013,5075843,5.075843,0.47835625542534715,32.838191087683875,12.398676791538795,75.25689991598483,95.78035912515286,171.03725904113767,31.714351991846552,5.224982698449947,4.105392834100761,2.299007843112267
B,Encoder SE,none,1,0.0018,5078027,5.078027,0.131622314453125,27.557746520346257,11.528014708649911,77.12881325096532,92.69849499954337,169.8273082505087,34.10960255844876,5.098172569057111,4.241881165405512,2.3153873428881964
B,Encoder SE,none,2,0.0035,5078027,5.078027,0.21132405598958334,29.20964481777196,11.517329832107256,73.86504691385198,93.70401937364174,167.5690662874937,34.14124677612499,5.323438032315929,4.196362147839827,2.346590625058267
B,Encoder SE,none,3,0.0067,5078027,5.078027,0.32755194769965273,31.086954604832425,11.513294707280389,73.8758033336732,94.668920208278,168.54472354195119,34.153212438082676,5.322662932326705,4.153591264534319,2.333006882307577
B,Encoder SE,none,4,0.013,5078027,5.078027,0.48809475368923616,32.99545702700147,11.662441584727882,74.92011850020693,94.30773583335395,169.22785433356088,33.71643897577343,5.248470075483316,4.169498891319272,2.3235891133202076
C,Encoder+Decoder SE,none,1,0.0018,5080211,5.080211,0.13166978624131945,27.556754687199156,11.679169747973598,72.87129304192301,91.77500320887096,164.64629625079397,33.668146664982345,5.396034344742339,4.284565363676194,2.3882468598081434
C,Encoder+Decoder SE,none,2,0.0035,5080211,5.080211,0.21184285481770834,29.208825464449983,11.708720290698693,72.02549870877799,92.53192070718796,164.55741941596594,33.583174782334446,5.459399893777861,4.24951732326307,2.3895367428315955
C,Encoder+Decoder SE,none,3,0.0067,5080211,5.080211,0.3273281521267361,31.085589071422138,11.666900041745976,73.60643629241774,89.44092241593656,163.0473587083543,33.70355437974202,5.3421415273776205,4.396376841591438,2.411667402127945
C,Encoder+Decoder SE,none,4,0.013,5080211,5.080211,0.4883931477864583,32.99643109335391,11.571916832205412,73.69012645661617,91.03990437567215,164.73003083228832,33.98019582249795,5.33607443639684,4.319160951415453,2.3870328804851213
bmshj2018_factorized,BMSHJ 2018 Factorized,pretrained_reference,1,0.0018,2998147,2.998147,0.1226230197482639,26.90878693768291,10.405375539752034,70.34664112688915,89.28409858284188,159.63073970973105,37.78969807459448,5.589691187824147,4.404098896010651,2.463284958241847
